  1.972018e-02   3.162815e-02   5.347417e-04
  1.985139e-02   3.142796e-02   5.241481e-04
  1.998260e-02   3.158541e-02   5.315640e-04
  2.011380e-02   3.107343e-02   5.231788e-04
  2.024501e-02   3.206067e-02   5.225547e-04
  2.037622e-02   3.143604e-02   5.266272e-04
  2.050743e-02   3.169520e-02   5.192531e-04
  2.063864e-02   3.100869e-02   5.180530e-04
  2.076985e-02   3.033497e-02   5.177919e-04
  2.090106e-02   3.116902e-02   5.079430e-04
  2.103226e-02   3.065816e-02   5.154099e-04
  2.116347e-02   3.092251e-02   5.108075e-04
  2.129468e-02   3.065654e-02   5.085010e-04
  2.142589e-02   3.066248e-02   5.116201e-04
  2.155710e-02   3.090849e-02   5.031844e-04
  2.168831e-02   3.155296e-02   5.054232e-04
  2.181952e-02   3.010482e-02   5.053474e-04
  2.195072e-02   3.102292e-02   4.949970e-04
  2.208193e-02   3.089918e-02   5.016033e-04
  2.221314e-02   3.053951e-02   4.977844e-04
  2.234435e-02   3.085357e-02   4.955838e-04
  2.247556e-02   3.023065e-02   4.971367e-04
  2.260677e-02   2.971156e-02   4.885613e-04
  2.273797e-02   3.020616e-02   4.890642e-04
  2.286918e-02   3.014902e-02   4.935203e-04
  2.300039e-02   2.993669e-02   4.846278e-04
  2.313160e-02   3.014628e-02   4.860148e-04
  2.326281e-02   3.055252e-02   4.837973e-04
  2.339402e-02   3.043941e-02   4.834688e-04
  2.352523e-02   2.979707e-02   4.833131e-04
  2.365643e-02   2.951668e-02   4.774745e-04
  2.378764e-02   3.014035e-02   4.766701e-04
  2.391885e-02   3.004321e-02   4.797275e-04
  2.405006e-02   2.958699e-02   4.703618e-04
  2.418127e-02   2.961710e-02   4.754421e-04
  2.431248e-02   2.973304e-02   4.676619e-04
  2.444368e-02   3.018689e-02   4.724905e-04
  2.457489e-02   2.956053e-02   4.719826e-04
  2.470610e-02   2.958850e-02   4.684484e-04
  2.483731e-02   2.978282e-02   4.651940e-04
  2.496852e-02   2.977693e-02   4.673217e-04
  2.509973e-02   2.996468e-02   4.622615e-04
  2.523093e-02   2.921658e-02   4.652665e-04
  2.536214e-02   3.025150e-02   4.652043e-04
  2.549335e-02   2.973341e-02   4.601116e-04
  2.562456e-02   2.931584e-02   4.618243e-04
  2.575577e-02   2.966752e-02   4.540355e-04
  2.588698e-02   2.966300e-02   4.575492e-04
  2.601818e-02   2.963125e-02   4.585233e-04
  2.614939e-02   2.871510e-02   4.518568e-04
  2.628060e-02   2.862042e-02   4.536351e-04
  2.641181e-02   2.952868e-02   4.522579e-04
  2.654302e-02   2.948241e-02   4.488977e-04
  2.667423e-02   2.877620e-02   4.517109e-04
  2.680544e-02   2.917830e-02   4.456862e-04
  2.693664e-02   2.915774e-02   4.485596e-04
  2.706785e-02   2.950113e-02   4.474851e-04
  2.719906e-02   2.878799e-02   4.407408e-04
  2.733027e-02   2.966943e-02   4.448816e-04
  2.746148e-02   2.922073e-02   4.415227e-04
  2.759269e-02   2.926866e-02   4.412768e-04
  2.772389e-02   2.935186e-02   4.436062e-04
  2.785510e-02   2.893933e-02   4.341471e-04
  2.798631e-02   2.920182e-02   4.379461e-04
  2.811752e-02   2.900320e-02   4.373610e-04
  2.824873e-02   2.904651e-02   4.350953e-04
  2.837994e-02   2.902861e-02   4.345905e-04
  2.851115e-02   2.899488e-02   4.336693e-04
  2.864235e-02   2.882383e-02   4.297849e-04
  2.877356e-02   2.949952e-02   4.349096e-04
  2.890477e-02   2.970460e-02   4.299975e-04
  2.903598e-02   2.913621e-02   4.303093e-04
  2.916719e-02   2.877540e-02   4.286088e-04
  2.929840e-02   2.945846e-02   4.262403e-04
  2.942961e-02   2.852689e-02   4.248792e-04
  2.956081e-02   2.832050e-02   4.236485e-04
  2.969202e-02   2.871109e-02   4.242639e-04
  2.982323e-02   2.945006e-02   4.279157e-04
  2.995444e-02   2.892741e-02   4.195312e-04
  3.008565e-02   2.861955e-02   4.224625e-04
  3.021686e-02   2.845921e-02   4.195824e-04
  3.034806e-02   2.907303e-02   4.177958e-04
  3.047927e-02   2.913543e-02   4.202729e-04
  3.061048e-02   2.865670e-02   4.183032e-04
  3.074169e-02   2.907815e-02   4.161920e-04
  3.087290e-02   2.879031e-02   4.190067e-04
  3.100411e-02   2.910256e-02   4.119616e-04
  3.113532e-02   2.896978e-02   4.175913e-04
  3.126652e-02   2.903582e-02   4.198235e-04
  3.139773e-02   2.918144e-02   4.197628e-04
  3.152894e-02   2.895196e-02   4.222396e-04
  3.166015e-02   2.885164e-02   4.228715e-04
  3.179136e-02   2.877343e-02   4.216056e-04
