#DAT file by SAXSII - Timestamp: 09/12/2024 14:40:48
radial-q_A^-1,intensity,sigma
0.0440642421401306,0.09471576,0.027042858
0.044216801279532335,0.08117736,0.026982764
0.044369360418934065,0.091680154,0.026921105
0.044521919558335794,0.08177866,0.02681922
0.044674478697737524,0.08831528,0.026778994
0.04482703783713926,0.09367216,0.026749365
0.044979596976541,0.093705006,0.026722051
0.04513215611594273,0.09345334,0.02666761
0.04528471525534446,0.085399814,0.026616797
0.045437274394746194,0.08945901,0.0265323
0.045589833534147924,0.09146532,0.026486397
0.04574239267354965,0.08552716,0.026420517
0.04589495181295139,0.09633242,0.026345422
0.04604751095235313,0.081767865,0.026269525
0.046200070091754857,0.08808581,0.026227092
0.046352629231156586,0.08954702,0.026097998
0.046505188370558316,0.092271976,0.026070531
0.04665774750996005,0.085723996,0.025994865
0.04681030664936178,0.08183141,0.02590633
0.04696286578876352,0.091672376,0.025862442
0.04711542492816525,0.08274438,0.025802106
0.047267984067566986,0.09281444,0.025699085
0.047420543206968715,0.08995613,0.025665257
0.047573102346370445,0.0832225,0.02558583
0.047725661485772175,0.09637876,0.02548331
0.04787822062517391,0.08130449,0.025438398
0.04803077976457565,0.07514834,0.025407106
0.04818333890397738,0.079861015,0.02534018
0.04833589804337911,0.08541288,0.025251081
0.048488457182780845,0.083974294,0.02520665
0.048641016322182574,0.08521069,0.02517856
0.048793575461584304,0.07746038,0.02509586
0.04894613460098604,0.08509621,0.0250177
0.04909869374038778,0.07642525,0.024920993
0.04925125287978951,0.07401535,0.024896799
0.04940381201919124,0.06937327,0.02483021
0.049556371158592974,0.08187985,0.024784382
0.049708930297994704,0.08311301,0.024746561
0.04986148943739643,0.08265801,0.024718445
0.05001404857679817,0.07317237,0.024668902
0.0501666077161999,0.066659555,0.024648497
0.05031916685560163,0.06642952,0.024629151
0.05047172599500337,0.075841345,0.024615599
0.0506242851344051,0.06655548,0.024592478
0.05077684427380683,0.07626374,0.024593042
0.05092940341320856,0.06431019,0.024516711
0.0510819625526103,0.07704839,0.02447726
0.05123452169201203,0.082609564,0.024535963
0.05138708083141376,0.07209386,0.024484385
0.05153963997081549,0.07798501,0.02447394
0.05169219911021723,0.0785758,0.02447394
0.05184475824961896,0.06740969,0.024403946
0.05199731738902069,0.0724076,0.024342
0.05214987652842243,0.08039888,0.02436163
0.05230243566782416,0.076498486,0.024361972
0.05245499480722589,0.06356564,0.024312494
0.05260755394662762,0.06863492,0.024338579
0.05276011308602935,0.081143044,0.024265558
0.05291267222543109,0.07988019,0.024246765
0.05306523136483282,0.06725913,0.02420831
0.05321779050423456,0.080317035,0.02423043
0.05337034964363629,0.07604935,0.024257952
0.05352290878303802,0.07339385,0.024184957
0.05367546792243975,0.0803012,0.024147255
0.05382802706184148,0.07748139,0.024122613
0.05398058620124322,0.08663479,0.024120793
0.05413314534064495,0.073756024,0.024107825
0.05428570448004669,0.06854742,0.024056613
0.05443826361944842,0.065560214,0.024027126
0.05459082275885015,0.06984503,0.02405647
0.054743381898251876,0.08137005,0.024006048
0.054895941037653606,0.07430655,0.023976222
0.05504850017705534,0.066908546,0.02399998
0.05520105931645708,0.06988247,0.023947764
0.055353618455858816,0.059878573,0.023946006
0.055506177595260546,0.07148867,0.023938028
0.055658736734662276,0.07241799,0.023853308
0.055811295874064006,0.06767991,0.023840794
0.055963855013465735,0.07779889,0.023878578
0.05611641415286747,0.07816218,0.023801887
0.0562689732922692,0.08093149,0.023805521
0.056421532431670945,0.07828258,0.023810452
0.056574091571072675,0.075920045,0.023762098
0.056726650710474405,0.07548939,0.023780257
0.056879209849876135,0.077637695,0.023744525
0.057031768989277865,0.08443516,0.023707876
0.0571843281286796,0.075281784,0.023704275
0.05733688726808133,0.07124736,0.023670075
0.05748944640748306,0.07780035,0.023627857
0.057642005546884804,0.08098757,0.023609232
0.057794564686286534,0.07356372,0.023608193
0.057947123825688264,0.079774074,0.023612304
0.058099682965089994,0.07761058,0.023581203
0.05825224210449173,0.06744819,0.023571633
0.05840480124389346,0.08062568,0.023530679
0.05855736038329519,0.07201965,0.02350236
0.058709919522696934,0.060518388,0.023480492
0.05886247866209866,0.06757016,0.023489013
0.05901503780150039,0.06774261,0.023464065
0.05916759694090212,0.070623584,0.02343598
0.05932015608030386,0.07361522,0.023370964
0.05947271521970559,0.068840906,0.023402667
0.05962527435910732,0.07384818,0.023391286
0.05977783349850905,0.074909724,0.023356255
0.05993039263791079,0.086565614,0.023350272
0.06008295177731252,0.070490524,0.023351844
0.06023551091671425,0.083720975,0.023317305
0.06038807005611599,0.08596112,0.023283683
0.06054062919551772,0.07632827,0.023282483
0.06069318833491945,0.06904976,0.023255927
0.06084574747432118,0.06653721,0.023235511
0.06099830661372291,0.059171647,0.023215389
0.06115086575312465,0.06912582,0.023187531
0.06130342489252638,0.079914376,0.023152849
0.06145598403192812,0.06596134,0.023161478
0.06160854317132985,0.06641749,0.023163624
0.06176110231073158,0.06533744,0.023111688
0.06191366145013331,0.06813944,0.023114681
0.06206622058953504,0.07010435,0.023067238
0.062218779728936774,0.073563844,0.023040732
0.06237133886833851,0.07115439,0.023014963
0.06252389800774025,0.06292451,0.023022015
0.06267645714714197,0.06297137,0.023004247
0.0628290162865437,0.069203936,0.023020357
0.06298157542594544,0.07401647,0.02294709
0.06313413456534717,0.07968254,0.02293857
0.0632866937047489,0.06955822,0.022941904
0.06343925284415063,0.066811085,0.022917714
0.06359181198355238,0.07930677,0.022915635
0.0637443711229541,0.078779966,0.022910908
0.06389693026235584,0.084037766,0.022851385
0.06404948940175757,0.10490571,0.022855476
0.0642020485411593,0.08785429,0.022850886
0.06435460768056103,0.09104976,0.022847638
0.06450716681996276,0.06549709,0.022801919
0.0646597259593645,0.06864857,0.022770427
0.06481228509876623,0.07166983,0.022740468
0.06496484423816797,0.059413515,0.022711162
0.0651174033775697,0.061247837,0.022703014
0.06526996251697142,0.06685563,0.022701532
0.06542252165637316,0.0661048,0.022691319
0.06557508079577488,0.062686265,0.022705331
0.06572763993517662,0.058368746,0.022660531
0.06588019907457836,0.0664603,0.02262216
0.0660327582139801,0.06502228,0.022592803
0.06618531735338183,0.07829454,0.022604313
0.06633787649278355,0.074649274,0.022584971
0.06649043563218529,0.057277203,0.022572089
0.06664299477158701,0.068325736,0.02258453
0.06679555391098875,0.06013262,0.022512259
0.06694811305039049,0.061789118,0.022507783
0.06710067218979222,0.06281976,0.022526365
0.06725323132919396,0.049855,0.022476388
0.06740579046859568,0.058140066,0.02247291
0.06755834960799742,0.06336661,0.022477781
0.06771090874739914,0.070341945,0.022434957
0.06786346788680088,0.07004769,0.022394966
0.06801602702620262,0.06673081,0.02240695
0.06816858616560434,0.06354173,0.022378735
0.06832114530500609,0.06312681,0.022393541
0.06847370444440781,0.06438104,0.022374718
0.06862626358380955,0.06237051,0.0223475
0.06877882272321127,0.05636017,0.022309717
0.06893138186261301,0.048677262,0.022298798
0.06908394100201475,0.069697805,0.022315739
0.06923650014141647,0.06409853,0.022268398
0.06938905928081822,0.066492476,0.022260532
0.06954161842021994,0.0759098,0.022249565
